,year_film,year_ceremony,ceremony,name,film,winner,category2
2096,1947,1948,20,Guy Green,Great Expectations,True,CINEMATOGRAPHY
2098,1947,1948,20,Jack Cardiff,Black Narcissus,True,CINEMATOGRAPHY
2104,1947,1948,20,Elia Kazan,Gentleman's Agreement,True,DIRECTING
2106,1947,1948,20,"Sid Rogell, Executive Producer;  Theron Warth and Richard O. Fleischer, Producers",Design for Death,True,ETC
2109,1947,1948,20,United Nations Division of Films and Visual Information,First Steps,True,ETC
2119,1947,1948,20,Dr. Miklos Rozsa,A Double Life,True,ETC
2123,1947,1948,20,Alfred Newman,Mother Wore Tights,True,ETC
2131,1947,1948,20,Music by Allie Wrubel; Lyrics by Ray Gilbert,Song of the South,True,ETC
2134,1947,1948,20,20th Century-Fox,Gentleman's Agreement,True,BEST PICTURE
2141,1947,1948,20,"Edward Selzer, Producer",Tweetie Pie,True,ETC
2143,1947,1948,20,"Herbert Moulton, Producer",Good-bye Miss Turlock,True,ETC
2148,1947,1948,20,"Irving Allen, Producer",Climbing the Matterhorn,True,ETC
2152,1947,1948,20,"Samuel Goldwyn Studio Sound Department, Gordon Sawyer, Sound Director",The Bishop's Wife,True,ETC
2155,1947,1948,20,"Special Visual Effects by A. Arnold Gillespie, Warren Newcombe; Special Audible Effects by Douglas Shearer, Michael Steinore",Green Dolphin Street,True,ETC
2160,1947,1948,20,Valentine Davies,Miracle on 34th Street,True,WRITING
2162,1947,1948,20,Sidney Sheldon,The Bachelor and the Bobby-Soxer,True,WRITING
2171,1947,1948,20,George Seaton,Miracle on 34th Street,True,WRITING
2179,1948,1949,21,Laurence Olivier,Hamlet,True,ACTOR
2184,1948,1949,21,Walter Huston,The Treasure of the Sierra Madre,True,ACTOR SUPPORTING
2190,1948,1949,21,Jane Wyman,Johnny Belinda,True,ACTRESS
2195,1948,1949,21,Claire Trevor,Key Largo,True,ACTRESS SUPPORTING
2196,1948,1949,21,Art Direction:  Roger K. Furse;  Set Decoration:  Carmen Dillon,Hamlet,True,ETC
2199,1948,1949,21,Art Direction:  Hein Heckroth;  Set Decoration:  Arthur Lawson,The Red Shoes,True,ETC
2203,1948,1949,21,William Daniels,The Naked City,True,CINEMATOGRAPHY
2206,1948,1949,21,"Joseph Valentine, William V. Skall, Winton Hoch",Joan of Arc,True,CINEMATOGRAPHY
2210,1948,1949,21,Roger K. Furse,Hamlet,True,ETC
2212,1948,1949,21,"Dorothy Jeakins, Karinska",Joan of Arc,True,ETC
2217,1948,1949,21,John Huston,The Treasure of the Sierra Madre,True,DIRECTING
2219,1948,1949,21,"Orville O. Dull, Producer",The Secret Land,True,ETC
2222,1948,1949,21,United States Army,Toward Independence,True,ETC
2231,1948,1949,21,Brian Easdale,The Red Shoes,True,ETC
2233,1948,1949,21,"Johnny Green, Roger Edens",Easter Parade,True,ETC
2238,1948,1949,21,Music and Lyrics by Jay Livingston and Ray Evans,The Paleface,True,ETC
2243,1948,1949,21,J. Arthur Rank-Two Cities Films,Hamlet,True,BEST PICTURE
2248,1948,1949,21,"Fred Quimby, Producer",The Little Orphan,True,ETC
2256,1948,1949,21,"Edmund H. Reek, Producer",Symphony of a City,True,ETC
2261,1948,1949,21,"Walt Disney, Producer",Seal Island,True,ETC
2265,1948,1949,21,"20th Century-Fox Studio Sound Department, Thomas T. Moulton, Sound Director",The Snake Pit,True,ETC
2267,1948,1949,21,"Special Visual Effects by Paul Eagler, J. McMillan Johnson, Russell Shearman, Clarence Slifer; Special Audible Effects by Charles Freeman, James G. Stewart",Portrait of Jennie,True,ETC
2272,1948,1949,21,"Richard Schweizer, David Wechsler",The Search,True,WRITING
2277,1948,1949,21,John Huston,The Treasure of the Sierra Madre,True,WRITING
2285,1949,1950,22,Broderick Crawford,All the King's Men,True,ACTOR
2291,1949,1950,22,Dean Jagger,Twelve O'Clock High,True,ACTOR SUPPORTING
2296,1949,1950,22,Olivia de Havilland,The Heiress,True,ACTRESS
2303,1949,1950,22,Mercedes McCambridge,All the King's Men,True,ACTRESS SUPPORTING
2306,1949,1950,22,"Art Direction:  Harry Horner, John Meehan;  Set Decoration:  Emile Kuri",The Heiress,True,ETC
2309,1949,1950,22,"Art Direction:  Cedric Gibbons, Paul Groesse;  Set Decoration:  Edwin B. Willis, Jack D. Moore",Little Women,True,ETC
2311,1949,1950,22,Paul C. Vogel,Battleground,True,CINEMATOGRAPHY
2320,1949,1950,22,Winton Hoch,She Wore a Yellow Ribbon,True,CINEMATOGRAPHY
2321,1949,1950,22,"Edith Head, Gile Steele",The Heiress,True,ETC
2323,1949,1950,22,"Leah Rhodes, Travilla, Marjorie Best",The Adventures of Don Juan,True,ETC
2329,1949,1950,22,Joseph L. Mankiewicz,A Letter to Three Wives,True,DIRECTING
2330,1949,1950,22,Crown Film Unit,Daybreak in Udi,True,ETC
2332,1949,1950,22,"Richard de Rochemont, Producer",A Chance to Live,True,ETC
2335,1949,1950,22,"Edward Selzer, Producer",So Much for So Little,True,ETC
2343,1949,1950,22,Aaron Copland,The Heiress,True,ETC
2346,1949,1950,22,"Roger Edens, Lennie Hayton",On the Town,True,ETC
2347,1949,1950,22,Music and Lyrics by Frank Loesser,Neptune's Daughter,True,ETC
2352,1949,1950,22,Robert Rossen Productions,All the King's Men,True,BEST PICTURE
2358,1949,1950,22,"Edward Selzer, Producer",For Scent-Imental Reasons,True,ETC
2362,1949,1950,22,"Jack Eaton, Producer",Aquatic House-Party,True,ETC
2371,1949,1950,22,"Gaston Diehl and Robert Haessens, Producers",Van Gogh,True,ETC
2374,1949,1950,22,"20th Century-Fox Studio Sound Department, Thomas T. Moulton, Sound Director",Twelve O'Clock High,True,ETC
2375,1949,1950,22,ARKO Productions,Mighty Joe Young,True,ETC
2380,1949,1950,22,Douglas Morrow,The Stratton Story,True,WRITING
2386,1949,1950,22,Joseph L. Mankiewicz,A Letter to Three Wives,True,WRITING
2387,1949,1950,22,Robert Pirosh,Battleground,True,WRITING
2398,1950,1951,23,José Ferrer,Cyrano de Bergerac,True,ACTOR
2405,1950,1951,23,George Sanders,All about Eve,True,ACTOR SUPPORTING
2409,1950,1951,23,Judy Holliday,Born Yesterday,True,ACTRESS
2414,1950,1951,23,Josephine Hull,Harvey,True,ACTRESS SUPPORTING
2419,1950,1951,23,"Art Direction:  Hans Dreier, John Meehan;  Set Decoration:  Sam Comer, Ray Moyer",Sunset Blvd.,True,ETC
2422,1950,1951,23,"Art Direction:  Hans Dreier, Walter Tyler;  Set Decoration:  Sam Comer, Ray Moyer",Samson and Delilah,True,ETC
2427,1950,1951,23,Robert Krasker,The Third Man,True,CINEMATOGRAPHY
2431,1950,1951,23,Robert Surtees,King Solomon's Mines,True,CINEMATOGRAPHY
2433,1950,1951,23,"Edith Head, Charles LeMaire",All about Eve,True,ETC
2437,1950,1951,23,"Edith Head, Dorothy Jeakins, Elois Jenssen, Gile Steele, Gwen Wakeling",Samson and Delilah,True,ETC
2439,1950,1951,23,Joseph L. Mankiewicz,All about Eve,True,DIRECTING
2444,1950,1951,23,"Robert Snyder, Producer",The Titan: Story of Michelangelo,True,ETC
2448,1950,1951,23,"Edmund Reek, Producer",Why Korea?,True,ETC
2458,1950,1951,23,Franz Waxman,Sunset Blvd.,True,ETC
2459,1950,1951,23,"Adolph Deutsch, Roger Edens",Annie Get Your Gun,True,ETC
2466,1950,1951,23,Music and Lyrics by Ray Evans and Jay Livingston,"Captain Carey, U.S.A.",True,ETC
2469,1950,1951,23,20th Century-Fox,All about Eve,True,BEST PICTURE
2474,1950,1951,23,"Stephen Bosustow, Producer",Gerald McBoing-Boing,True,ETC
2478,1950,1951,23,"Gordon Hollingshead, Producer",Grandad of Races,True,ETC
2481,1950,1951,23,"Walt Disney, Producer",In Beaver Valley,True,ETC
2483,1950,1951,23,"20th Century-Fox Studio Sound Department, Thomas T. Moulton, Sound Director",All about Eve,True,ETC
2488,1950,1951,23,George Pal Productions,Destination Moon,True,ETC
2493,1950,1951,23,"Edna Anhalt, Edward Anhalt",Panic in the Streets,True,WRITING
2495,1950,1951,23,Joseph L. Mankiewicz,All about Eve,True,WRITING
2504,1950,1951,23,"Charles Brackett, Billy Wilder, D. M. Marshman, Jr.",Sunset Blvd.,True,WRITING
2509,1951,1952,24,Humphrey Bogart,The African Queen,True,ACTOR
2516,1951,1952,24,Karl Malden,A Streetcar Named Desire,True,ACTOR SUPPORTING
2520,1951,1952,24,Vivien Leigh,A Streetcar Named Desire,True,ACTRESS
2527,1951,1952,24,Kim Hunter,A Streetcar Named Desire,True,ACTRESS SUPPORTING
2532,1951,1952,24,Art Direction:  Richard Day;  Set Decoration:  George James Hopkins,A Streetcar Named Desire,True,ETC
2534,1951,1952,24,"Art Direction:  Cedric Gibbons, Preston Ames;  Set Decoration:  Edwin B. Willis, Keogh Gleason",An American in Paris,True,ETC
2541,1951,1952,24,William C. Mellor,A Place in the Sun,True,CINEMATOGRAPHY
2544,1951,1952,24,Alfred Gilks; Ballet Photography by John Alton,An American in Paris,True,CINEMATOGRAPHY
2552,1951,1952,24,Edith Head,A Place in the Sun,True,ETC
2554,1951,1952,24,"Orry-Kelly, Walter Plunkett, Irene Sharaff",An American in Paris,True,ETC
2562,1951,1952,24,George Stevens,A Place in the Sun,True,DIRECTING
2565,1951,1952,24,"Olle Nordemar, Producer",Kon-Tiki,True,ETC
2566,1951,1952,24,'Made by Fred Zinnemann with the cooperation of Paramount Pictures Corporation for the Los Angeles Orthopaedic Hospital',Benjy,True,ETC
2576,1951,1952,24,Franz Waxman,A Place in the Sun,True,ETC
2580,1951,1952,24,"Johnny Green, Saul Chaplin",An American in Paris,True,ETC
2584,1951,1952,24,Music by Hoagy Carmichael; Lyrics by Johnny Mercer,Here Comes the Groom,True,ETC
2589,1951,1952,24,"Arthur Freed, Producer",An American in Paris,True,BEST PICTURE
2596,1951,1952,24,"Fred Quimby, Producer",The Two Mouseketeers,True,ETC
2599,1951,1952,24,"Robert Youngson, Producer",World of Kids,True,ETC
2602,1951,1952,24,"Walt Disney, Producer",Nature's Half Acre,True,ETC
2604,1951,1952,24,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director",The Great Caruso,True,ETC
2608,1951,1952,24,Paramount,When Worlds Collide,True,ETC
2612,1951,1952,24,"Paul Dehn, James Bernard",Seven Days to Noon,True,WRITING
2617,1951,1952,24,"Michael Wilson, Harry Brown",A Place in the Sun,True,WRITING
2619,1951,1952,24,Alan Jay Lerner,An American in Paris,True,WRITING
2628,1952,1953,25,Gary Cooper,High Noon,True,ACTOR
2636,1952,1953,25,Anthony Quinn,Viva Zapata!,True,ACTOR SUPPORTING
2637,1952,1953,25,Shirley Booth,"Come Back, Little Sheba",True,ACTRESS
2642,1952,1953,25,Gloria Grahame,The Bad and the Beautiful,True,ACTRESS SUPPORTING
2647,1952,1953,25,"Art Direction:  Cedric Gibbons, Edward Carfagno;  Set Decoration:  Edwin B. Willis, Keogh Gleason",The Bad and the Beautiful,True,ETC
2654,1952,1953,25,Art Direction:  Paul Sheriff;  Set Decoration:  Marcel Vertes,Moulin Rouge,True,ETC
2657,1952,1953,25,Robert Surtees,The Bad and the Beautiful,True,CINEMATOGRAPHY
2665,1952,1953,25,"Winton C. Hoch, Archie Stout",The Quiet Man,True,CINEMATOGRAPHY
2668,1952,1953,25,Helen Rose,The Bad and the Beautiful,True,ETC
2675,1952,1953,25,Marcel Vertes,Moulin Rouge,True,ETC
2681,1952,1953,25,John Ford,The Quiet Man,True,DIRECTING
2684,1952,1953,25,"Irwin Allen, Producer",The Sea around Us,True,ETC
2688,1952,1953,25,"Norman McLaren, Producer",Neighbours,True,ETC
2694,1952,1953,25,Dimitri Tiomkin,High Noon,True,ETC
2703,1952,1953,25,Alfred Newman,With a Song in My Heart,True,ETC
2706,1952,1953,25,Music by Dimitri Tiomkin; Lyrics by Ned Washington,High Noon,True,ETC
2709,1952,1953,25,"Cecil B. DeMille, Producer",The Greatest Show on Earth,True,BEST PICTURE
2714,1952,1953,25,"Fred Quimby, Producer",Johann Mouse,True,ETC
2721,1952,1953,25,"Boris Vermont, Producer",Light in the Window: The Art of Vermeer,True,ETC
2727,1952,1953,25,"Walt Disney, Producer",Water Birds,True,ETC
2728,1952,1953,25,London Film Sound Department,Breaking the Sound Barrier,True,ETC
2733,1952,1953,25,Metro-Goldwyn-Mayer,Plymouth Adventure,True,ETC
2734,1952,1953,25,"Fredric M. Frank, Theodore St. John, Frank Cavett",The Greatest Show on Earth,True,WRITING
2739,1952,1953,25,Charles Schnee,The Bad and the Beautiful,True,WRITING
2746,1952,1953,25,T. E. B. Clarke,The Lavender Hill Mob,True,WRITING
2759,1953,1954,26,William Holden,Stalag 17,True,ACTOR
2764,1953,1954,26,Frank Sinatra,From Here to Eternity,True,ACTOR SUPPORTING
2768,1953,1954,26,Audrey Hepburn,Roman Holiday,True,ACTRESS
2774,1953,1954,26,Donna Reed,From Here to Eternity,True,ACTRESS SUPPORTING
2776,1953,1954,26,"Art Direction:  Cedric Gibbons, Edward Carfagno;  Set Decoration:  Edwin B. Willis, Hugh Hunt",Julius Caesar,True,ETC
2783,1953,1954,26,"Art Direction:  Lyle Wheeler, George W. Davis;  Set Decoration:  Walter M. Scott, Paul S. Fox",The Robe,True,ETC
2787,1953,1954,26,Burnett Guffey,From Here to Eternity,True,CINEMATOGRAPHY
2795,1953,1954,26,Loyal Griggs,Shane,True,CINEMATOGRAPHY
2800,1953,1954,26,Edith Head,Roman Holiday,True,ETC
2804,1953,1954,26,"Charles LeMaire, Emile Santiago",The Robe,True,ETC
2806,1953,1954,26,Fred Zinnemann,From Here to Eternity,True,DIRECTING
2812,1953,1954,26,"Walt Disney, Producer",The Living Desert,True,ETC
2814,1953,1954,26,"Walt Disney, Producer",The Alaskan Eskimo,True,ETC
2827,1953,1954,26,Bronislau Kaper,Lili,True,ETC
2831,1953,1954,26,Alfred Newman,Call Me Madam,True,ETC
2837,1953,1954,26,Music by Sammy Fain; Lyrics by Paul Francis Webster,Calamity Jane,True,ETC
2839,1953,1954,26,"Buddy Adler, Producer",From Here to Eternity,True,BEST PICTURE
2848,1953,1954,26,"Walt Disney, Producer","Toot, Whistle, Plunk and Boom",True,ETC
2852,1953,1954,26,"Johnny Green, Producer",The Merry Wives of Windsor Overture,True,ETC
2854,1953,1954,26,"Walt Disney, Producer",Bear Country,True,ETC
2860,1953,1954,26,"Columbia Studio Sound Department, John P. Livadary, Sound Director",From Here to Eternity,True,ETC
2864,1953,1954,26,Paramount Studio,The War of the Worlds,True,ETC
2869,1953,1954,26,Dalton Trumbo,Roman Holiday,True,WRITING
2871,1953,1954,26,Daniel Taradash,From Here to Eternity,True,WRITING
2879,1953,1954,26,"Charles Brackett, Walter Reisch, Richard Breen",Titanic,True,WRITING
2886,1954,1955,27,Marlon Brando,On the Waterfront,True,ACTOR
2892,1954,1955,27,Edmond O'Brien,The Barefoot Contessa,True,ACTOR SUPPORTING
2898,1954,1955,27,Grace Kelly,The Country Girl,True,ACTRESS
2902,1954,1955,27,Eva Marie Saint,On the Waterfront,True,ACTRESS SUPPORTING
2908,1954,1955,27,Richard Day,On the Waterfront,True,ETC
2914,1954,1955,27,Art Direction:  John Meehan;  Set Decoration:  Emile Kuri,"20,000 Leagues under the Sea",True,ETC
2917,1954,1955,27,Boris Kaufman,On the Waterfront,True,CINEMATOGRAPHY
2924,1954,1955,27,Milton Krasner,Three Coins in the Fountain,True,CINEMATOGRAPHY
2929,1954,1955,27,Edith Head,Sabrina,True,ETC
2932,1954,1955,27,Sanzo Wada,Gate of Hell,True,ETC
2937,1954,1955,27,Elia Kazan,On the Waterfront,True,DIRECTING
2941,1954,1955,27,"Walt Disney, Producer",The Vanishing Prairie,True,ETC
2944,1954,1955,27,World Wide Pictures and Morse Films,Thursday's Children,True,ETC
2952,1954,1955,27,Dimitri Tiomkin,The High and the Mighty,True,ETC
2957,1954,1955,27,"Adolph Deutsch, Saul Chaplin",Seven Brides for Seven Brothers,True,ETC
2964,1954,1955,27,Music by Jule Styne; Lyrics by Sammy Cahn,Three Coins in the Fountain,True,ETC
2967,1954,1955,27,"Sam Spiegel, Producer",On the Waterfront,True,BEST PICTURE
2974,1954,1955,27,"Stephen Bosustow, Producer",When Magoo Flew,True,ETC
2977,1954,1955,27,"Robert Youngson, Producer",This Mechanical Age,True,ETC
2981,1954,1955,27,"Denis Sanders and Terry Sanders, Producers",A Time Out of War,True,ETC
2984,1954,1955,27,"Universal-International Studio Sound Department, Leslie I. Carey, Sound Director",The Glenn Miller Story,True,ETC
2989,1954,1955,27,Walt Disney Studios,"20,000 Leagues under the Sea",True,ETC
2991,1954,1955,27,Philip Yordan,Broken Lance,True,WRITING
2996,1954,1955,27,George Seaton,The Country Girl,True,WRITING
3004,1954,1955,27,Budd Schulberg,On the Waterfront,True,WRITING
3012,1955,1956,28,Ernest Borgnine,Marty,True,ACTOR
3018,1955,1956,28,Jack Lemmon,Mister Roberts,True,ACTOR SUPPORTING
3025,1955,1956,28,Anna Magnani,The Rose Tattoo,True,ACTRESS
3030,1955,1956,28,Jo Van Fleet,East of Eden,True,ACTRESS SUPPORTING
3036,1955,1956,28,"Art Direction:  Hal Pereira, Tambi Larsen;  Set Decoration:  Sam Comer, Arthur Krams",The Rose Tattoo,True,ETC
3040,1955,1956,28,"Art Direction:  William Flannery, Jo Mielziner;  Set Decoration:  Robert Priestley",Picnic,True,ETC
3046,1955,1956,28,James Wong Howe,The Rose Tattoo,True,CINEMATOGRAPHY
3051,1955,1956,28,Robert Burks,To Catch a Thief,True,CINEMATOGRAPHY
3052,1955,1956,28,Helen Rose,I'll Cry Tomorrow,True,ETC
3059,1955,1956,28,Charles LeMaire,Love Is a Many-Splendored Thing,True,ETC
3064,1955,1956,28,Delbert Mann,Marty,True,DIRECTING
3068,1955,1956,28,"Nancy Hamilton, Producer",Helen Keller in Her Story,True,ETC
3071,1955,1956,28,"Walt Disney, Producer",Men against the Arctic,True,ETC
3078,1955,1956,28,Alfred Newman,Love Is a Many-Splendored Thing,True,ETC
3086,1955,1956,28,"Robert Russell Bennett, Jay Blackton, Adolph Deutsch",Oklahoma!,True,ETC
3088,1955,1956,28,Music by Sammy Fain; Lyrics by Paul Francis Webster,Love Is a Many-Splendored Thing,True,ETC
3093,1955,1956,28,"Harold Hecht, Producer",Marty,True,BEST PICTURE
3100,1955,1956,28,"Edward Selzer, Producer",Speedy Gonzales,True,ETC
3102,1955,1956,28,"Edmund Reek, Producer",Survival City,True,ETC
3106,1955,1956,28,"Wilbur T. Blume, Producer",The Face of Lincoln,True,ETC
3114,1955,1956,28,"Todd-AO Sound Department, Fred Hynes, Sound Director",Oklahoma!,True,ETC
3115,1955,1956,28,Paramount Studio,The Bridges at Toko-Ri,True,ETC
3118,1955,1956,28,Daniel Fuchs,Love Me or Leave Me,True,WRITING
3127,1955,1956,28,Paddy Chayefsky,Marty,True,WRITING
3129,1955,1956,28,"William Ludwig, Sonya Levien",Interrupted Melody,True,WRITING
3134,1956,1957,29,Yul Brynner,The King and I,True,ACTOR
3141,1956,1957,29,Anthony Quinn,Lust for Life,True,ACTOR SUPPORTING
3145,1956,1957,29,Ingrid Bergman,Anastasia,True,ACTRESS
3153,1956,1957,29,Dorothy Malone,Written on the Wind,True,ACTRESS SUPPORTING
3157,1956,1957,29,"Art Direction:  Cedric Gibbons, Malcolm F. Brown;  Set Decoration:  Edwin B. Willis, F. Keogh Gleason",Somebody Up There Likes Me,True,ETC
3161,1956,1957,29,"Art Direction:  Lyle R. Wheeler, John DeCuir;  Set Decoration:  Walter M. Scott, Paul S. Fox",The King and I,True,ETC
3167,1956,1957,29,Joseph Ruttenberg,Somebody Up There Likes Me,True,CINEMATOGRAPHY
3169,1956,1957,29,Lionel Lindon,Around the World in 80 Days,True,CINEMATOGRAPHY
3177,1956,1957,29,Jean Louis,The Solid Gold Cadillac,True,ETC
3181,1956,1957,29,Irene Sharaff,The King and I,True,ETC
3186,1956,1957,29,George Stevens,Giant,True,DIRECTING
3190,1956,1957,29,"Jacques-Yves Cousteau, Producer",The Silent World,True,ETC
3196,1956,1957,29,"Louis Clyde Stoumen, Producer",The True Story of the Civil War,True,ETC
3205,1956,1957,29,"Italy; Dino De Laurentiis and Carlo Ponti, Producers",La Strada,True,ETC
3208,1956,1957,29,Victor Young,Around the World in 80 Days,True,ETC
3215,1956,1957,29,"Alfred Newman, Ken Darby",The King and I,True,ETC
3220,1956,1957,29,Music and Lyrics by Jay Livingston and Ray Evans,The Man Who Knew Too Much,True,ETC
3222,1956,1957,29,"Michael Todd, Producer",Around the World in 80 Days,True,BEST PICTURE
3229,1956,1957,29,"Stephen Bosustow, Producer",Mister Magoo's Puddle Jumper,True,ETC
3230,1956,1957,29,"Konstantin Kalser, Producer",Crashing the Water Barrier,True,ETC
3233,1956,1957,29,Romulus Films,The Bespoke Overcoat,True,ETC
3240,1956,1957,29,"20th Century-Fox Studio Sound Department, Carl Faulkner, Sound Director",The King and I,True,ETC
3243,1956,1957,29,John Fulton,The Ten Commandments,True,ETC
3244,1956,1957,29,Dalton Trumbo,The Brave One,True,WRITING
3249,1956,1957,29,"James Poe, John Farrow, S.J. Perelman",Around the World in 80 Days,True,WRITING
3258,1956,1957,29,Albert Lamorisse,The Red Balloon,True,WRITING
3264,1957,1958,30,Alec Guinness,The Bridge on the River Kwai,True,ACTOR
3267,1957,1958,30,Red Buttons,Sayonara,True,ACTOR SUPPORTING
3276,1957,1958,30,Joanne Woodward,The Three Faces of Eve,True,ACTRESS
3280,1957,1958,30,Miyoshi Umeki,Sayonara,True,ACTRESS SUPPORTING
3286,1957,1958,30,Art Direction:  Ted Haworth;  Set Decoration:  Robert Priestley,Sayonara,True,ETC
3288,1957,1958,30,Jack Hildyard,The Bridge on the River Kwai,True,CINEMATOGRAPHY
3294,1957,1958,30,Orry-Kelly,Les Girls,True,ETC
3297,1957,1958,30,David Lean,The Bridge on the River Kwai,True,DIRECTING
3302,1957,1958,30,"Jerome Hill, Producer",Albert Schweitzer,True,ETC
3313,1957,1958,30,Italy,The Nights of Cabiria,True,ETC
3317,1957,1958,30,Malcolm Arnold,The Bridge on the River Kwai,True,ETC
3321,1957,1958,30,Music by James Van Heusen; Lyrics by Sammy Cahn,The Joker Is Wild,True,ETC
3325,1957,1958,30,"Sam Spiegel, Producer",The Bridge on the River Kwai,True,BEST PICTURE
3330,1957,1958,30,"Edward Selzer, Producer",Birds Anonymous,True,ETC
3339,1957,1958,30,"Larry Lansburgh, Producer",The Wetback Hound,True,ETC
3343,1957,1958,30,"Warner Bros. Studio Sound Department, George Groves, Sound Director",Sayonara,True,ETC
3345,1957,1958,30,Audible Effects by Walter Rossi,The Enemy Below,True,ETC
3347,1957,1958,30,"Michael Wilson, Carl Foreman, Pierre Boulle",The Bridge on the River Kwai,True,WRITING
3352,1957,1958,30,George Wells,Designing Woman,True,WRITING
3364,1958,1959,31,David Niven,Separate Tables,True,ACTOR
3369,1958,1959,31,Burl Ives,The Big Country,True,ACTOR SUPPORTING
3372,1958,1959,31,Susan Hayward,I Want to Live!,True,ACTRESS
3378,1958,1959,31,Wendy Hiller,Separate Tables,True,ACTRESS SUPPORTING
3385,1958,1959,31,"Art Direction:  William A. Horning, Preston Ames;  Set Decoration:  Henry Grace, Keogh Gleason",Gigi,True,ETC
3387,1958,1959,31,Sam Leavitt,The Defiant Ones,True,CINEMATOGRAPHY
3394,1958,1959,31,Joseph Ruttenberg,Gigi,True,CINEMATOGRAPHY
3400,1958,1959,31,Cecil Beaton,Gigi,True,ETC
3404,1958,1959,31,Vincente Minnelli,Gigi,True,DIRECTING
3410,1958,1959,31,"Ben Sharpsteen, Producer",White Wilderness,True,ETC
3411,1958,1959,31,"Ben Sharpsteen, Producer",Ama Girls,True,ETC
3423,1958,1959,31,France,My Uncle,True,ETC
3427,1958,1959,31,Dimitri Tiomkin,The Old Man and the Sea,True,ETC
3433,1958,1959,31,Andre Previn,Gigi,True,ETC
3438,1958,1959,31,Music by Frederick Loewe; Lyrics by Alan Jay Lerner,Gigi,True,ETC
3444,1958,1959,31,"Arthur Freed, Producer",Gigi,True,BEST PICTURE
3446,1958,1959,31,"John W. Burton, Producer",Knighty Knight Bugs,True,ETC
3449,1958,1959,31,"Walt Disney, Producer",Grand Canyon,True,ETC
3455,1958,1959,31,"Todd-AO Sound Department, Fred Hynes, Sound Director",South Pacific,True,ETC
3459,1958,1959,31,Visual Effects by Tom Howard,tom thumb,True,ETC
3462,1958,1959,31,Alan Jay Lerner,Gigi,True,WRITING
3466,1958,1959,31,"Nedrick Young, Harold Jacob Smith",The Defiant Ones,True,WRITING
3474,1959,1960,32,Charlton Heston,Ben-Hur,True,ACTOR
3478,1959,1960,32,Hugh Griffith,Ben-Hur,True,ACTOR SUPPORTING
3486,1959,1960,32,Simone Signoret,Room at the Top,True,ACTRESS
3492,1959,1960,32,Shelley Winters,The Diary of Anne Frank,True,ACTRESS SUPPORTING
3494,1959,1960,32,"Art Direction:  Lyle R. Wheeler, George W. Davis;  Set Decoration:  Walter M. Scott, Stuart A. Reiss",The Diary of Anne Frank,True,ETC
3498,1959,1960,32,"Art Direction:  William A. Horning, Edward Carfagno;  Set Decoration:  Hugh Hunt",Ben-Hur,True,ETC
3505,1959,1960,32,William C. Mellor,The Diary of Anne Frank,True,CINEMATOGRAPHY
3508,1959,1960,32,Robert L. Surtees,Ben-Hur,True,CINEMATOGRAPHY
3516,1959,1960,32,Orry-Kelly,Some Like It Hot,True,ETC
3518,1959,1960,32,Elizabeth Haffenden,Ben-Hur,True,ETC
3523,1959,1960,32,William Wyler,Ben-Hur,True,DIRECTING
3529,1959,1960,32,"Bernhard Grzimek, Producer",Serengeti Shall Not Die,True,ETC
3532,1959,1960,32,"Bert Haanstra, Producer",Glass,True,ETC
3538,1959,1960,32,France,Black Orpheus,True,ETC
3543,1959,1960,32,Miklos Rozsa,Ben-Hur,True,ETC
3550,1959,1960,32,"Andre Previn, Ken Darby",Porgy and Bess,True,ETC
3556,1959,1960,32,Music by James Van Heusen; Lyrics by Sammy Cahn,A Hole in the Head,True,ETC
3559,1959,1960,32,"Sam Zimbalist, Producer",Ben-Hur,True,BEST PICTURE
3564,1959,1960,32,"John Hubley, Producer",Moonbird,True,ETC
3568,1959,1960,32,"Jacques-Yves Cousteau, Producer",The Golden Fish,True,ETC
3572,1959,1960,32,"Metro-Goldwyn-Mayer Studio Sound Department, Franklin E. Milton, Sound Director",Ben-Hur,True,ETC
3577,1959,1960,32,"Visual Effects by A. Arnold Gillespie, Robert MacDonald; Audible Effects by Milo Lory",Ben-Hur,True,ETC
3582,1959,1960,32,Neil Paterson,Room at the Top,True,WRITING
3587,1959,1960,32,"Story by Russell Rouse, Clarence Greene;  Screenplay by Stanley Shapiro, Maurice Richlin",Pillow Talk,True,WRITING
3593,1960,1961,33,Burt Lancaster,Elmer Gantry,True,ACTOR
3600,1960,1961,33,Peter Ustinov,Spartacus,True,ACTOR SUPPORTING
3606,1960,1961,33,Elizabeth Taylor,Butterfield 8,True,ACTRESS
3608,1960,1961,33,Shirley Jones,Elmer Gantry,True,ACTRESS SUPPORTING
3612,1960,1961,33,Art Direction:  Alexander Trauner;  Set Decoration:  Edward G. Boyle,The Apartment,True,ETC
3620,1960,1961,33,"Art Direction:  Alexander Golitzen, Eric Orbom;  Set Decoration:  Russell A. Gausman, Julia Heron",Spartacus,True,ETC
3626,1960,1961,33,Freddie Francis,Sons and Lovers,True,CINEMATOGRAPHY
3631,1960,1961,33,Russell Metty,Spartacus,True,CINEMATOGRAPHY
3632,1960,1961,33,"Edith Head, Edward Stevenson",The Facts of Life,True,ETC
3640,1960,1961,33,"Valles, Bill Thomas",Spartacus,True,ETC
